电影名,电影链接,电影详情,工作人员,评论人数,豆瓣评分
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,408108人评价,9
教父2,https://movie.douban.com/subject/1299131/,1974 / 美国 / 剧情 犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,294434人评价,9.2
狮子王,https://movie.douban.com/subject/1301753/,1994 / 美国 / 动画 冒险 歌舞,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,446124人评价,9
指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,458139人评价,9
V字仇杀队,https://movie.douban.com/subject/1309046/,2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,640492人评价,8.9
美丽心灵,https://movie.douban.com/subject/1306029/,2001 / 美国 / 传记 剧情,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,446811人评价,9
饮食男女,https://movie.douban.com/subject/1291818/,1994 / 中国台湾 美国 / 剧情 家庭,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,315975人评价,9.1
海豚湾,https://movie.douban.com/subject/3442220/,2009 / 美国 / 纪录片,导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...,248056人评价,9.3
何以为家,https://movie.douban.com/subject/30170448/,2018 / 黎巴嫩 法国 美国 / 剧情,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,366838人评价,9.1
情书,https://movie.douban.com/subject/1292220/,1995 / 日本 / 剧情 爱情,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,549015人评价,8.9
钢琴家,https://movie.douban.com/subject/1296736/,2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,295703人评价,9.1
大闹天宫,https://movie.douban.com/subject/1418019/,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,193392人评价,9.3
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,2001 / 美国 英国 / 奇幻 冒险,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,474339人评价,8.9
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,2008 / 美国 / 剧情 爱情 奇幻,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,582528人评价,8.9
看不见的客人,https://movie.douban.com/subject/26580232/,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,643226人评价,8.8
黑客帝国,https://movie.douban.com/subject/1291843/,1999 / 美国 澳大利亚 / 动作 科幻,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,439399人评价,8.9
西西里的美丽传说,https://movie.douban.com/subject/1292402/,2000 / 意大利 美国 / 剧情 战争 情色,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,558478人评价,8.8
小鞋子,https://movie.douban.com/subject/1303021/,1997 / 伊朗 / 剧情 儿童 家庭,导演: 马基德·马基迪 Majid Majidi   主演: 法拉赫阿米尔·哈什米安 Amir Fa...,220884人评价,9.2
美国往事,https://movie.douban.com/subject/1292262/,1984 / 意大利 美国 / 犯罪 剧情,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,250252人评价,9.2
让子弹飞,https://movie.douban.com/subject/3742360/,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,946987人评价,8.8
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,1998 / 美国 / 剧情 历史 战争,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,373634人评价,9
音乐之声,https://movie.douban.com/subject/1294408/,1965 / 美国 / 剧情 传记 爱情 歌舞,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,344358人评价,9
猫鼠游戏,https://movie.douban.com/subject/1305487/,2002 / 美国 加拿大 / 传记 犯罪 剧情,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,410678人评价,8.9
致命魔术,https://movie.douban.com/subject/1780330/,2006 / 美国 英国 / 剧情 悬疑 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,502119人评价,8.8
